,Name,DMSO1,DMSO2,DMSO3,24_hr_ENZA1,24_hr_ENZA2,24_hr_ENZA3,48_hr_ENZA1,48_hr_ENZA2,48_hr_ENZA3,LT_ENZA1,LT_ENZA2,LT_ENZA3
53,dU,28.99504443,12.96461542,12.67304655,8.542957976,15.2768747,10.99643423,46.75368114,18.77982183,14.5759305,189.91003,104.8186419,75.57535965
54,F16BP,1677.321575,2064.895506,1902.148969,2164.956078,1522.147307,1636.013966,1943.359613,2002.937855,2597.177185,3920.701754,4720.142521,5007.650636
55,Folate,43.11734694,24.02189917,21.83302298,29.29680596,26.40955743,19.58831881,49.09375,38.32408933,40.28276691,123.4922294,85.91153741,56.33309635
56,Fru,6758.977688,4994.598733,4079.250678,5772.14692,5222.265009,4660.568146,7476.303443,5891.968882,5658.50778,27968.06519,13422.40026,8509.762421
57,Fum,2343.289986,2190.767359,2381.218197,2776.593256,2638.811462,2928.424359,2308.551192,2346.437183,2206.888468,1966.966109,2225.144757,2329.88604
58,G,4.629503955,2.370205904,,0,0,0,0,0,0,6.124391462,4.003962183,
59,G3P,205.2517821,332.3794611,257.0135533,205.9067291,160.3793308,228.4984152,271.7650689,235.8683873,369.9847804,525.0147922,559.6242203,514.4241803
60,G6P-F6P,286.6045796,333.0470236,370.0689452,300.9440078,299.4620017,288.4135631,301.035143,291.0336811,330.2814267,428.6727937,436.8922757,407.8906825
61,GABA,1420.261449,1435.650174,1393.809452,2053.077464,1810.798469,1993.014857,1457.178072,1594.757612,1827.414627,755.0962115,1132.745989,1224.715875
62,GDP,195.0736989,188.1041438,183.2224632,262.9320561,221.0625593,259.6057845,240.63509,251.8997498,282.8532098,291.9926351,280.8577145,276.3770492
63,Glc,84333.66778,59381.17931,44596.67208,69703.6141,61468.99653,57478.20655,91252.26761,76056.25215,65657.71771,268477.6944,154851.7818,109863.9142
64,GlcA,2352.939166,2439.546638,2414.026022,3368.519292,2968.312678,3354.925713,3262.819915,3093.854537,3401.680152,4305.678567,3372.632105,3276.353463
65,GlcN,11290.08085,6319.773997,3732.809004,2952.884012,2996.873902,4182.151281,10841.19584,7498.210171,5496.719084,25488.23989,12695.4367,8058.665064
66,GlcN-6P,34.11019432,31.84750041,31.7393518,39.07497257,29.82409824,36.31685816,30.12910487,33.42818354,27.79794282,69.76491699,76.6876937,78.65853965
67,GlcNAc,228.6007226,180.747026,199.1730348,215.9645897,195.6351448,189.5955494,265.1978549,279.8636891,239.7026646,374.0957746,256.3960221,221.6176397
68,GlcNAc-6P,12.90057123,43.3091827,26.08,15.60873691,22.67453726,27.12325013,11.60754767,24.99524071,40.59694837,85.42451005,42.70711231,62.91857645
69,Gln,161409.847,159311.0279,166670.8438,206281.2929,189393.0863,207235.9008,178758.5011,193721.5533,191198.6744,233648.1112,218875.7493,215671.4944
70,Glu,88762.41136,94252.56344,95915.85303,134197.0323,119262.0675,121985.1998,109789.594,118355.4723,124332.0529,97205.82733,115984.8895,120513.8531
71,GlucA,75.234108,72.30534976,82.78974661,136.6584418,140.1107617,130.7073098,134.123464,132.3380621,115.5035207,95.99787792,91.06417951,82.53805621
72,Gly,17648.9729,17869.00841,18317.71368,23834.47961,21170.16561,21995.38263,20222.66952,21759.15312,20878.84928,14308.67532,15233.9153,15472.90252
73,Glycerol,285.5116932,154.7596466,207.4721037,288.2834604,293.6748932,218.8180798,228.8231197,307.5543657,214.9406992,362.6760392,385.6784355,455.3679324
74,Glycerol-3-P,277.2735084,228.7582911,292.0138126,474.0983718,404.0772129,488.2194929,318.9061176,289.0107084,280.4386156,148.5351392,186.9412342,123.746989
75,GMP,53.98591446,76.79888751,61.96313494,70.3483496,71.8113728,53.68740095,50.34544492,63.25175423,59.27559974,85.25592935,101.0365227,102.8982937
76,GSH,53167.85646,54917.52434,56457.56486,71373.50203,61765.64541,66520.79414,58835.29346,62965.7854,61228.88768,34815.81828,47962.23616,48788.54077
77,GSH/GSSG,27.80239301,21.77291827,27.90852641,27.58225737,25.42102978,24.16213535,24.67581836,27.71113337,21.91102524,14.08525118,20.16495078,21.74725916
78,GSSG,1912.348208,2522.285881,2022.950407,2587.659925,2429.706662,2753.100799,2384.329979,2272.219782,2794.432803,2471.792504,2378.495077,2243.434008
79,GTP,1268.975393,1268.467011,1236.892516,1803.641686,1560.885857,1471.43093,1439.59277,1504.670602,1651.422119,1268.619773,1547.227374,1521.549348
80,His,3778.058271,2802.735504,2013.276841,3321.101812,2812.526637,2812.26248,4422.488321,3660.766856,3433.879236,13135.77921,6907.519909,4827.559635
81,HMG-CoA,2.24897471,2.248626919,1.993612257,2.333966013,2.013644993,2.025653724,1.676641949,1.283635365,1.48904313,0.123829734,0.145659252,0.207050853
82,Homocysteine,159.7486329,113.6717461,105.1017089,167.814348,245.1892798,208.3197966,218.5002383,201.1969919,172.2580503,778.9007615,463.6031148,364.3802693
83,HS2O3,435.3086369,333.3340968,297.7524337,382.0895934,372.7685097,405.8858954,384.6750265,385.3334249,309.5756958,550.5772375,576.4729512,437.3300853
84,Hypoxanthine,254.8593399,120.08554,131.7278727,250.9933272,399.6187411,270.2804741,274.7876324,298.8848923,226.8432588,1191.964798,850.810796,628.0728923
85,IMP,0,0,0,8.911741155,,6.867406233,1.57907839,5.258405028,5.48738659,0,0,0
86,Inosine,0,0,0,0,0,0,0,0,0,,19.46424228,9.558673469
87,Inositol,22287.53535,20493.76787,19553.08832,54601.4953,46396.31137,46568.07244,51002.62818,50717.09314,48240.93786,76719.56575,75129.69774,73290.07415
88,Lac,22961.21521,18976.54374,18022.7877,24472.38744,21435.3281,21289.49419,25741.55024,22405.63515,23382.38048,37448.37208,25443.92899,22720.44258
89,Leu/Ile,148253.2365,120050.0953,110003.3969,156399.6237,136960.7502,136648.1973,161722.281,154186.3268,141228.6136,352482.3165,215160.8679,161265.822
90,Lys,5519.275242,4955.161474,4146.260153,6314.625819,5858.887755,6119.706055,7035.499364,6401.395479,6496.562311,10280.87136,6853.249068,5509.827785
